industry,code,buy_date,sell_date,buy_price,sell_price,pct_reward
医疗服务,sh.600763.csv,2009-08-21,2009-08-27,7.48,8.43,0.12700534759358284
医疗服务,sz.000150.csv,2009-04-13,2009-04-17,4.9,5.75,0.1734693877551019
医疗服务,sz.002219.csv,2009-08-05,2009-08-07,33.0,36.0,0.09090909090909083
一般零售,sz.002277.csv,2013-02-26,2013-03-06,9.9,10.8,0.09090909090909105
一般零售,sz.002277.csv,2013-07-02,2013-07-10,7.67,8.43,0.09908735332464147
一般零售,sz.000061.csv,2012-12-07,2012-12-10,4.67,5.14,0.10064239828693777
一般零售,sz.000061.csv,2013-09-11,2013-09-23,6.96,7.53,0.0818965517241379
一般零售,sh.600838.csv,2012-12-07,2012-12-17,4.66,5.36,0.15021459227467804
一般零售,sh.601116.csv,2013-02-26,2013-03-05,9.36,10.5,0.1217948717948718
一般零售,sz.000419.csv,2013-07-08,2013-07-09,4.16,4.58,0.10096153846153855
一般零售,sz.002697.csv,2012-12-07,2012-12-12,13.27,14.39,0.08440090429540326
一般零售,sz.002697.csv,2014-09-12,2014-09-15,8.31,9.14,0.09987966305655838
一般零售,sz.002697.csv,2015-03-18,2015-03-19,10.23,11.25,0.0997067448680351
一般零售,sz.002697.csv,2016-12-15,2016-12-16,7.4,8.0,0.08108108108108092
一般零售,sz.000679.csv,2012-12-07,2012-12-14,6.51,7.21,0.10752688172043023
游戏,sz.002174.csv,2013-10-24,2013-10-25,22.0,24.2,0.09999999999999987
游戏,sz.002354.csv,2015-03-24,2015-03-25,63.25,69.58,0.10007905138339912
影视院线,sh.600052.csv,2013-10-29,2013-10-31,3.29,3.58,0.08814589665653494
影视院线,sz.002292.csv,2013-07-10,2013-07-15,25.41,28.0,0.10192837465564741
油气开采,sz.000968.csv,2009-04-29,2009-05-07,15.12,16.58,0.09656084656084651
油气开采,sz.000968.csv,2009-07-15,2009-07-17,22.82,25.1,0.0999123575810692
油气开采,sh.600777.csv,2009-07-28,2009-08-04,6.81,7.36,0.08076358296622632
油服工程,sz.002207.csv,2015-11-05,2015-11-10,16.89,18.46,0.09295441089402012
油服工程,sz.002629.csv,2013-03-04,2013-03-08,16.06,17.42,0.08468244084682452
