,cut_loss,target_profit,win_rate,ave_interest_rate,turn_over
45,-0.02,0.55,0.09177820267686425,0.03231357552581263,528
46,-0.02,0.6,0.09177820267686425,0.03690248565965583,528
47,-0.02,0.65,0.0841300191204589,0.03636711281070746,528
48,-0.02,0.7,0.0745697896749522,0.03369024856596558,528
49,-0.02,0.75,0.06883365200764818,0.0330019120458891,528
50,-0.02,0.8,0.05927342256214149,0.028604206500956023,528
51,-0.02,0.85,0.055449330783938815,0.028240917782026764,528
52,-0.02,0.9,0.05353728489483748,0.029254302103250477,528
53,-0.02,0.95,0.045889101338432124,0.024512428298279154,528
54,-0.03,0.1,0.32633587786259544,0.012423664122137407,528
55,-0.03,0.15,0.2695984703632887,0.01852772466539197,528
56,-0.03,0.2,0.22753346080305928,0.022332695984703634,528
57,-0.03,0.25,0.20650095602294455,0.027820267686424476,528
58,-0.03,0.3,0.1931166347992352,0.033728489483747605,528
59,-0.03,0.35,0.18164435946462715,0.03902485659655832,528
60,-0.03,0.4,0.1586998087954111,0.038240917782026776,528
61,-0.03,0.45,0.13766730401529637,0.03608030592734225,528
62,-0.03,0.5,0.13026819923371646,0.03904214559386974,528
63,-0.03,0.55,0.12260536398467432,0.04111111111111111,528
64,-0.03,0.6,0.12260536398467432,0.04724137931034482,528
65,-0.03,0.65,0.1111111111111111,0.04555555555555556,528
66,-0.03,0.7,0.09961685823754789,0.04272030651340995,528
67,-0.03,0.75,0.09386973180076628,0.0432183908045977,528
68,-0.03,0.8,0.08237547892720307,0.03837164750957855,528
69,-0.03,0.85,0.07662835249042145,0.03743295019157088,528
70,-0.03,0.9,0.07279693486590039,0.037701149425287364,528
71,-0.03,0.95,0.06513409961685823,0.03383141762452107,528
72,-0.04,0.1,0.366412213740458,0.011297709923664126,528
73,-0.04,0.15,0.30592734225621415,0.018126195028680687,528
74,-0.04,0.2,0.2638623326959847,0.02332695984703633,528
75,-0.04,0.25,0.24091778202676864,0.029866156787762905,528
76,-0.04,0.3,0.2237093690248566,0.03606118546845124,528
77,-0.04,0.35,0.21032504780114722,0.04202676864244742,528
78,-0.04,0.4,0.18546845124282982,0.041606118546845136,528
79,-0.04,0.45,0.16061185468451242,0.0386998087954111,528
80,-0.04,0.5,0.15134099616858238,0.04172413793103449,528
81,-0.04,0.55,0.14367816091954022,0.044770114942528735,528
82,-0.04,0.6,0.13984674329501914,0.04950191570881225,528
83,-0.04,0.65,0.12835249042145594,0.04856321839080461,528
84,-0.04,0.7,0.11494252873563218,0.045057471264367814,528
85,-0.04,0.75,0.10727969348659004,0.04475095785440613,528
86,-0.04,0.8,0.09578544061302682,0.040459770114942534,528
87,-0.04,0.85,0.09003831417624521,0.04013409961685823,528
88,-0.04,0.9,0.08620689655172414,0.041034482758620684,528
89,-0.04,0.95,0.07662835249042145,0.03586206896551724,528
90,-0.05,0.1,0.39122137404580154,0.008683206106870227,528
91,-0.05,0.15,0.3365200764818356,0.017304015296367107,528
92,-0.05,0.2,0.2944550669216061,0.023613766730401532,528
93,-0.05,0.25,0.26577437858508607,0.029732313575525807,528
94,-0.05,0.3,0.248565965583174,0.03699808795411089,528
95,-0.05,0.35,0.23518164435946462,0.04407265774378585,528
96,-0.05,0.4,0.21032504780114722,0.04464627151051625,528
97,-0.05,0.45,0.18546845124282982,0.04273422562141491,528
98,-0.05,0.5,0.17624521072796934,0.04693486590038314,528
99,-0.05,0.55,0.16666666666666666,0.05,528
100,-0.05,0.6,0.16283524904214558,0.05584291187739463,528
101,-0.05,0.65,0.15134099616858238,0.055938697318007664,528
102,-0.05,0.7,0.13793103448275862,0.05344827586206896,528
